# Fermi-LAT
# total effective area as function of energy for on axis incidence photons
# Pass8
# from http://fermi.gsfc.nasa.gov/
-4.994429141253534432e+00,3.714020000000000099e-01
-4.743732653201151450e+00,1.133395000000000010e+02
-4.493036156709930395e+00,7.818632000000000062e+02
-4.242339830430985614e+00,1.939276000000000067e+03
-4.008356537501379435e+00,3.385452999999999975e+03
-3.749303649874498934e+00,4.876261000000000422e+03
-3.506963761010034375e+00,6.100279000000000451e+03
-3.256267422543981382e+00,7.191024000000000342e+03
-3.005571010001705456e+00,8.303993000000000393e+03
-2.763231294027793883e+00,8.928010000000000218e+03
-2.504178246614094050e+00,9.352150999999999840e+03
-2.261838435060774977e+00,9.131724000000000160e+03
-2.002785532370734867e+00,9.289198000000000320e+03
-1.752089060595321213e+00,9.202166999999999462e+03
-1.526462377364954159e+00,9.137171000000000276e+03
-1.275766004961357281e+00,9.227916999999999462e+03
-1.025069642920920954e+00,9.118663000000000466e+03
-7.827298339196381294e-01,8.987125000000000000e+03
-5.153202835712016316e-01,8.944661000000000058e+03
-2.646239729018765585e-01,8.946518000000000029e+03
-1.392759487381721277e-02,8.370596999999999753e+03
2.284121656028924585e-01,7.105725999999999658e+03
4.707520290804273477e-01,5.174188000000000102e+03
